authorID|affiliation
2191754156|Zhejiang
2250918|Shanghai Jiao Tong
95799904|Zhejiang
1998820|Amazon
1811427|Airbnb
50009466|UT Austin
49240687|Tsinghua
48607963|Oxford
2044918426|ETH Zurich
144924970|Stanford
32084575|IBM
1768624|IBM
1748824|UMich
1578100923|Zhejiang
19381012|Amazon
144535526|ByteDance
2347855602|Intel
40917131|CMU
1760871|UT Austin
2038176754|Oxford
33102961|Uber
144362899|Zhejiang
3081817|Amazon
1706809|UW
35752280|MIT
143922195|Princeton
144980086|Alibaba
2462983|ETH Zurich
10667063|CMU
1681248|HKUST
1811430|Zhejiang
2636783|Oxford
2044655623|Zhejiang
80243122|CMU
1697141|Harvard
2056679749|Peking
1726095131|Harvard
1743642|Cambridge
2157957189|ByteDance
2116415778|Samsung
2154435638|NVIDIA
2157480|MIT
49903386|Facebook
2066277988|Airbnb
48186551|HKUST
2330895|NVIDIA
31370754|Uber
1723945|Samsung
34207023|Baidu
1709512|UMich
145520115|Microsoft
145291669|Airbnb
144876925|Princeton
1403810063|Airbnb
1626824540|Caltech
46486553|Google
35965227|MIT
120791559|NVIDIA
143879125|Samsung
2346939080|Microsoft
39286677|Huawei
87711179|Qualcomm
2054745187|Cambridge
144395433|IBM
144735103|IBM
2009348|ETH Zurich
1704135|Uber
2191763301|ETH Zurich
2145443647|Samsung
33498709|Cambridge
5929246|ETH Zurich
2285416852|Intel
32721322|Oxford
1851564|ETH Zurich
2761087|Caltech
2775904|Shanghai Jiao Tong
143945011|Microsoft
72419159|Huawei
2239585787|Apple
1907575|UMich
145967056|Facebook
46829048|Stanford
38053687|UMich
2993671|Baidu
51283515|Samsung
2249620756|Shanghai Jiao Tong
145080287|Apple
3913651|Shanghai Jiao Tong
1780112|Amazon
1716788|Uber
1792298|Airbnb
40655309|Google
145409858|Facebook
2118727912|Facebook
7447906|Qualcomm
50260319|Cambridge
2286187694|IBM
1741702|IBM
1908796|UW
1719934|Shanghai Jiao Tong
1876779|ByteDance
1387902104|Samsung
40093162|Airbnb
2258749|Cambridge
6534571|ByteDance
1660855299|Google
1804314|UC Berkeley
9706655|Cambridge
32516743|NVIDIA
2349460|Intel
2171407|Harvard
29957038|Qualcomm
10208174|Cambridge
5049147|Samsung
2135937978|MIT
2109557884|Princeton
2070068655|Alibaba
1751586|Zhejiang
1815542|Alibaba
2916235|Tsinghua
145247053|Facebook
32920239|UW
1735962|Zhejiang
1716777|CMU
1714059|Caltech
2346817245|Baidu
144718788|NVIDIA
35096370|HKUST
2378027|Baidu
2127057|CMU
1723337|Alibaba
2068236437|Huawei
1800678|Alibaba
144518416|HKUST
2656573|Intel
3644767|Apple
2673932|Baidu
145473095|Caltech
48987704|ETH Zurich
1409068337|Tsinghua
144927151|Harvard
2117937034|Harvard
145029825|HKUST
1764768|Intel
1771659|Peking
2255301807|Baidu
1404459229|Zhejiang
3115341|CMU
48886858|Princeton
1748758|Intel
46599630|Intel
90583296|MIT
47030051|Alibaba
1868524|MIT
47479574|Uber
37120465|Harvard
1404268156|HKUST
1968806|Oxford
1411865594|Apple
152912047|Oxford
1763096|UC Berkeley
1741064|IBM
1790646|Amazon
49107901|UW
51052604|UC Berkeley
1727042|Alibaba
2827616|Microsoft
48385057|Zhejiang
1781982|UW
46867608|UC Berkeley
52216909|Peking
2115375292|Qualcomm
1793286|Cambridge
1749686|Tsinghua
2247786963|HKUST
1992820|Harvard
144621026|Stanford
2939803|Intel
46560749|Google
2322150|UC Berkeley
39917910|Tsinghua
2064241030|Qualcomm
145139947|Stanford
145027304|Facebook
7353741|UT Austin
3052879|Qualcomm
27122362|Shanghai Jiao Tong
2233724|UT Austin
1830349|Alibaba
145353889|NVIDIA
47002813|Intel
145728792|Intel
1730156|UT Austin
39865485|HKUST
1869515|UT Austin
2216207827|Airbnb
2264432703|HKUST
2490652|Microsoft
2072459779|Tencent
2696727|Uber
121557847|Qualcomm
123257978|UC Berkeley
2424683|UMich
2348306915|Huawei
2109675545|Princeton
2114950020|Amazon
145273596|Stanford
2038173616|Uber
2918013|Caltech
145328018|HKUST
2652207|Caltech
2061819040|Zhejiang
8720212|Apple
1701847|Microsoft
145325584|ETH Zurich
2119660368|IBM
2223688580|ETH Zurich
46531894|Tencent
144787387|Uber
46659335|Uber
144925520|IBM
3025831|Amazon
3177854|Zhejiang
3194361|Samsung
144986260|Google
2274681|Princeton
9437199|Baidu
145684421|Tsinghua
2256695032|Samsung
39743720|Qualcomm
2146325920|ByteDance
3149531|Microsoft
39455775|IBM
34594667|Cambridge
2361327|Tencent
71352570|Samsung
144126414|Apple
3000659|Samsung
31273465|MIT
38676513|Intel
40068904|Princeton
1398980400|Intel
1404786833|Microsoft
2373952|Apple
2108094216|Oxford
1731764|UC Berkeley
3004899|Shanghai Jiao Tong
39589154|Airbnb
8735139|Oxford
144783904|Google
3083169|Cambridge
6931417|UW
3115592|Huawei
145986494|Google
46888415|HKUST
144056327|Peking
