paperID|doi|journal_name|volume|volume_id|pages|abstract|publicationVenue_name|edition_id|city_venue|title|year|authorIDs|authorNames|fields|citedPaperID|reviewerIDs|reviewsApprovements|reviewsDesc
0b544dfe355a5070b60986319a3f51fb45d1348e|10.3115/v1/D14-1179||||1724-1734|In this paper, we propose a novel neural network model called RNN Encoder‐ Decoder that consists of two recurrent neural networks (RNN). One RNN encodes a sequence of symbols into a fixedlength vector representation, and the other decodes the representation into another sequence of symbols. The encoder and decoder of the proposed model are jointly trained to maximize the conditional probability of a target sequence given a source sequence. The performance of a statistical machine translation system is empirically found to improve by using the conditional probabilities of phrase pairs computed by the RNN Encoder‐Decoder as an additional feature in the existing log-linear model. Qualitatively, we show that the proposed model learns a semantically and syntactically meaningful representation of linguistic phrases.|Workshop on AI for Accessibility|Workshop_on_AI_for_Accessibility_London_2014|London|Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation|2014|1979489;3158246;1854385;3335364;2076086;144518416;1751762|Kyunghyun Cho;B. V. Merrienboer;Çaglar Gülçehre;Dzmitry Bahdanau;Fethi Bougares;Holger Schwenk;Yoshua Bengio|Computer Science;Mathematics|dd971c07879e1ce12b06991319528c06280eeb9b;10f919b1a5161b560504c225cfb2d1b3a4768f80;5ded2b8c64491b4a67f6d39ce473d4b9347a672e;96430cc91ed91fd2d4042fa6fcb7ecf4005d77a7;5a4631d5d75e3610037f87839628a4d166581e01|2109675545;70627370;2344478|False;False;True|desc;desc;desc
339a8e4cb0eba77675711ac255ac2a5d7ede1d53|10.1093/molbev/msab120|PNAS|94.0|4567-8901_94|3022 - 3027|Abstract The Molecular Evolutionary Genetics Analysis (MEGA) software has matured to contain a large collection of methods and tools of computational molecular evolution. Here, we describe new additions that make MEGA a more comprehensive tool for building timetrees of species, pathogens, and gene families using rapid relaxed-clock methods. Methods for estimating divergence times and confidence intervals are implemented to use probability densities for calibration constraints for node-dating and sequence sampling dates for tip-dating analyses. They are supported by new options for tagging sequences with spatiotemporal sampling information, an expanded interactive Node Calibrations Editor, and an extended Tree Explorer to display timetrees. Also added is a Bayesian method for estimating neutral evolutionary probabilities of alleles in a species using multispecies sequence alignments and a machine learning method to test for the autocorrelation of evolutionary rates in phylogenies. The computer memory requirements for the maximum likelihood analysis are reduced significantly through reprogramming, and the graphical user interface has been made more responsive and interactive for very big data sets. These enhancements will improve the user experience, quality of results, and the pace of biological discovery. Natively compiled graphical user interface and command-line versions of MEGA11 are available for Microsoft Windows, Linux, and macOS from www.megasoftware.net.||||MEGA11: Molecular Evolutionary Genetics Analysis Version 11|2021|3066242;48226007;2110208881|K. Tamura;G. Stecher;Sudhir Kumar|Computer Science;Medicine;Biology|cd49acefc8d51e324aa562e5337e1c2aff067053;5a4631d5d75e3610037f87839628a4d166581e01;44c7d9fe583e3d317a619297e7e949070710799f;265644f1b6740ca34bfbe9762b90b33021adde62;7b2dd79083a74699e4e0509ac3f0a8a302b4eabe;ae04f3d011511ad8ed7ffdf9fcfb7f11e6899ca2;395de0bd3837fdf4b4b5e5f04835bcc69c279481;10f919b1a5161b560504c225cfb2d1b3a4768f80;8a0f17e0ee66ad5f50cd35932747e6a806ef03cf;12d1d070a53d4084d88a77b8b143bad51c40c38f;0b544dfe355a5070b60986319a3f51fb45d1348e;8c8215b7f8111839f0066010a530a3a9f57ba15e;4b61c25a86083c20730c9b12737ac6ac4178c364;9d46dc975aeed3f96bddb144079b50238f746ecd;d517b13f2b152c913b81ce534a149493517dbdad;dd971c07879e1ce12b06991319528c06280eeb9b;42ed4a9994e6121a9f325f5b901c5b3d7ce104f5;98c25683fc8d6446448b734b1bcf08e1457f8d85;96430cc91ed91fd2d4042fa6fcb7ecf4005d77a7|1745644;2112890973;47156522|True;True;True|desc;desc;desc
395de0bd3837fdf4b4b5e5f04835bcc69c279481|10.18653/v1/2020.acl-main.703||||7871-7880|We present BART, a denoising autoencoder for pretraining sequence-to-sequence models. BART is trained by (1) corrupting text with an arbitrary noising function, and (2) learning a model to reconstruct the original text. It uses a standard Tranformer-based neural machine translation architecture which, despite its simplicity, can be seen as generalizing BERT (due to the bidirectional encoder), GPT (with the left-to-right decoder), and other recent pretraining schemes. We evaluate a number of noising approaches, finding the best performance by both randomly shuffling the order of sentences and using a novel in-filling scheme, where spans of text are replaced with a single mask token. BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks. It matches the performance of RoBERTa on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks, with gains of up to 3.5 ROUGE. BART also provides a 1.1 BLEU increase over a back-translation system for machine translation, with only target language pretraining. We also replicate other pretraining schemes within the BART framework, to understand their effect on end-task performance.|ECCV|ECCV_Cape_Town_2019|Cape Town|BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension|2019|35084211;11323179;39589154;2320509;113947684;39455775;1759422;1982950|M. Lewis;Yinhan Liu;Naman Goyal;Marjan Ghazvininejad;Abdel-rahman Mohamed;Omer Levy;Veselin Stoyanov;Luke Zettlemoyer|Computer Science;Mathematics;Linguistics|0b544dfe355a5070b60986319a3f51fb45d1348e;f8b7a3434f887ce4570b7e98c7f1b91c008042d4;546785490ac417be1f83ced6a8272e934934f411;693914b7f38c19585e35668fd626aecf62d4c5e7;9d46dc975aeed3f96bddb144079b50238f746ecd;a27089efabc5f4abd5ddf2be2a409bff41f31199;ade03d0c772c35dc8e865bdb41d7bc54d5b782d1;0a22389bd99b7efe3627ec6fc77ddaf3ff5e2faa;9670485f526f2254c0f34e64d9ca06f665a0bd17;9f387ce140c59a44eaeeea590087351461345164;b3de1062d8a462dfdc2938558258f8884abe9f4e;4b61c25a86083c20730c9b12737ac6ac4178c364;0ef9ae1ce8c91ce671a211bdda792bf3752d1522;339a8e4cb0eba77675711ac255ac2a5d7ede1d53;f4a5503783487eba5c5e34b1d02c09016b244b1d;12d1d070a53d4084d88a77b8b143bad51c40c38f;d05d86db86a4ac0d95e6dcd951b42a9651939793;44c7d9fe583e3d317a619297e7e949070710799f|17895970;48999874;47479574|True;True;True|desc;desc;desc
12d1d070a53d4084d88a77b8b143bad51c40c38f|10.1613/jair.301||||237-285|"This paper surveys the field of reinforcement learning from a computer-science perspective. It is written to be accessible to researchers familiar with machine learning. Both the historical basis of the field and a broad selection of current work are summarized. Reinforcement learning is the problem faced by an agent that learns behavior through trial-and-error interactions with a dynamic environment. The work described here has a resemblance to work in psychology, but differs considerably in the details and in the use of the word ""reinforcement."" The paper discusses central issues of reinforcement learning, including trading off exploration and exploitation, establishing the foundations of the field via Markov decision theory, learning from delayed reinforcement, constructing empirical models to accelerate learning, making use of generalization and hierarchy, and coping with hidden state. It concludes with a survey of some implemented systems and an assessment of the practical utility of current methods for reinforcement learning."|ICML|ICML_New_York_1996|New York|Reinforcement Learning: A Survey|1996|1709512;144885169;1760402|L. Kaelbling;M. Littman;A. Moore|Computer Science|7b2dd79083a74699e4e0509ac3f0a8a302b4eabe;61e27dbae190b82639c57f180ecf97e4c46fcad9;0a22389bd99b7efe3627ec6fc77ddaf3ff5e2faa;8c8215b7f8111839f0066010a530a3a9f57ba15e;8a0f17e0ee66ad5f50cd35932747e6a806ef03cf;0ef9ae1ce8c91ce671a211bdda792bf3752d1522;dd971c07879e1ce12b06991319528c06280eeb9b;38f23fe236b152cd4983c8f30d305a568afd0d3e;693914b7f38c19585e35668fd626aecf62d4c5e7;ae04f3d011511ad8ed7ffdf9fcfb7f11e6899ca2;d133cb102ad0f81e3fd17a7db090b28afc124c4a;339a8e4cb0eba77675711ac255ac2a5d7ede1d53;b5887d18420e8ac4f4fa4c83c4952138fd956702;a7a407968c13ced804a063259d72315a43b84f29;98c25683fc8d6446448b734b1bcf08e1457f8d85|2109916949;2031130914;145080287|True;True;False|desc;desc;desc
5ded2b8c64491b4a67f6d39ce473d4b9347a672e|10.18653/v1/N18-1101|Science|43.0|3456-7890_43|1112-1122|This paper introduces the Multi-Genre Natural Language Inference (MultiNLI) corpus, a dataset designed for use in the development and evaluation of machine learning models for sentence understanding. At 433k examples, this resource is one of the largest corpora available for natural language inference (a.k.a. recognizing textual entailment), improving upon available resources in both its coverage and difficulty. MultiNLI accomplishes this by offering data from ten distinct genres of written and spoken English, making it possible to evaluate systems on nearly the full complexity of the language, while supplying an explicit setting for evaluating cross-genre domain adaptation. In addition, an evaluation using existing machine learning models designed for the Stanford NLI corpus shows that it represents a substantially more difficult task than does that corpus, despite the two showing similar levels of inter-annotator agreement.||||A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference|2017|81840293;10666396;3644767|Adina Williams;Nikita Nangia;Samuel R. Bowman|Computer Science;Linguistics|339a8e4cb0eba77675711ac255ac2a5d7ede1d53;7b2dd79083a74699e4e0509ac3f0a8a302b4eabe;10f919b1a5161b560504c225cfb2d1b3a4768f80;b5887d18420e8ac4f4fa4c83c4952138fd956702;f8b7a3434f887ce4570b7e98c7f1b91c008042d4;4b61c25a86083c20730c9b12737ac6ac4178c364;98c25683fc8d6446448b734b1bcf08e1457f8d85;9d46dc975aeed3f96bddb144079b50238f746ecd;ade03d0c772c35dc8e865bdb41d7bc54d5b782d1;9f387ce140c59a44eaeeea590087351461345164;9b539d413393047b28bb7be9b195f142aaf7a80e;a27089efabc5f4abd5ddf2be2a409bff41f31199;f4a5503783487eba5c5e34b1d02c09016b244b1d;9f970c93549a1e69cdb9ba0f28b8ad1b25ba2f3a;395de0bd3837fdf4b4b5e5f04835bcc69c279481;f94455176857303605ad423599385a2341c568eb|1766624;2309030;2340666|True;True;True|desc;desc;desc
98c25683fc8d6446448b734b1bcf08e1457f8d85|10.1093/bioinformatics/btm344||||"
          2507-17
        "|Feature selection techniques have become an apparent need in many bioinformatics applications. In addition to the large pool of techniques that have already been developed in the machine learning and data mining fields, specific applications in bioinformatics have led to a wealth of newly proposed techniques. In this article, we make the interested reader aware of the possibilities of feature selection, providing a basic taxonomy of feature selection techniques, and discussing their use, variety and potential in a number of both common as well as upcoming bioinformatics applications.|ICML|ICML_Cape_Town_2007|Cape Town|A review of feature selection techniques in bioinformatics|2007|2247520360;1788277;2285903189|Yvan Saeys;Iñaki Inza;Pedro Larrañaga|Computer Science;Medicine;Biology|395de0bd3837fdf4b4b5e5f04835bcc69c279481;64be9999b68e12d260ba7423f6b55ffd41552ad3;3d13d6f847e8f4c76c5a8d6f99fa49dbabe473c0;24e6c5bfe9bb0751e5708b501d04e860011b2953;339a8e4cb0eba77675711ac255ac2a5d7ede1d53;ade03d0c772c35dc8e865bdb41d7bc54d5b782d1;8c8215b7f8111839f0066010a530a3a9f57ba15e;5a4631d5d75e3610037f87839628a4d166581e01|49903386;39589154;32084575|True;False;True|desc;desc;desc
611544418ca53cdad254df444addc7814abcfddc|10.1080/24754269.2021.1980261||||87 - 87|The fundamental mathematical tools needed to understand machine learning include linear algebra, analytic geometry, matrix decompositions, vector calculus, optimization, probability and statistics. These topics are traditionally taught in disparate courses, making it hard for data science or computer science students, or professionals, to efficiently learn the mathematics. This self-contained textbook bridges the gap between mathematical and machine learning texts, introducing the mathematical concepts with a minimum of prerequisites. It uses these concepts to derive four central machine learning methods: linear regression, principal component analysis, Gaussian mixture models and support vector machines. For students and others with a mathematical background, these derivations provide a starting point to machine learning texts. For those learning the mathematics for the first time, the methods help build intuition and practical experience with applying mathematical concepts. Every chapter includes worked examples and exercises to test understanding. Programming tutorials are offered on the book's web site. This textbook considers statistical learning applications when interest centers on the conditional distribution of a response variable, given a set of predictors, and in the absence of a credible model that can be specified before the data analysis begins. Consistent with modern data analytics, it emphasizes that a proper statistical learning data analysis depends in an integrated fashion on sound data collection, intelligent data management, appropriate statistical procedures, and an|ICLR|ICLR_Toronto_2021|Toronto|An introduction to statistical learning with applications in R|2021|151004165;2134162313;1840524|Fariha Sohil;Muhammad Umair Sohali;J. Shabbir|Computer Science;Mathematics|d517b13f2b152c913b81ce534a149493517dbdad;9d3e0fce253a4ae4a4456b2f24c03329a2b74621;44c7d9fe583e3d317a619297e7e949070710799f;339a8e4cb0eba77675711ac255ac2a5d7ede1d53|2112890973;144264986;2842984|True;False;True|desc;desc;desc
44c7d9fe583e3d317a619297e7e949070710799f|10.1093/nar/gkac1052||||D523 - D531|Abstract The aim of the UniProt Knowledgebase is to provide users with a comprehensive, high-quality and freely accessible set of protein sequences annotated with functional information. In this publication we describe enhancements made to our data processing pipeline and to our website to adapt to an ever-increasing information content. The number of sequences in UniProtKB has risen to over 227 million and we are working towards including a reference proteome for each taxonomic group. We continue to extract detailed annotations from the literature to update or create reviewed entries, while unreviewed entries are supplemented with annotations provided by automated systems using a variety of machine-learning techniques. In addition, the scientific community continues their contributions of publications and annotations to UniProt entries of their interest. Finally, we describe our new website (https://www.uniprot.org/), designed to enhance our users’ experience and make our data easily accessible to the research community. This interface includes access to AlphaFold structures for more than 85% of all entries as well as improved visualisations for subcellular localisation of proteins.|ICRA|ICRA_Cairo_2022|Cairo|UniProt: the Universal Protein Knowledgebase in 2023|2022|46888415;46502933;143945011;3093838;49967517;2009348;1578100923;35510297;1413794065;2038165074;2191753901;2407842;15309498;2108094514;11852405;2191751245;1413140200;100546775;5059205;2038176754;6289332;2055614715;47457030;2191763301;5219418;34594667;121557847;2116783356;6593936;1694551096;145684421;2038173616;2112890973;15186612;144057990;2595483;39589857;48506828;153529797;2053629650;1766624;2115667193;1914833;144916619;1907575;2061819040;50693907;1865802;153825989;1979856;5240016;1694538098;145718058;2380233;1403651727;38473019;2910143;15660940;3004899;2191754156;48999874;3349310;2649909;2314654;2090895670;1411865594;2044918426;2344478;2509510;40660788;35099951;3375775;1765161;1784123;1873696;3168502;2092438037;2057009;5385807;3304621;1399776494;87711179;2594256;8926744;3177854;143827678;2258061;2375564;11541096;3275738;2649548;2070956511;3322351;37120465;2562543;1876480;40291345;1897062;1491922105;40660854;1744726;1734053;3177811;1763713;3090725;2446311;50401356;3250223;1776336;6199470;153787929;123451953;2108034421;2151810209|A. Bateman;M. Martin;S. Orchard;M. Magrane;Shadab Ahmad;E. Alpi;E. Bowler-Barnett;R. Britto;Hema Bye-A-Jee;Austra Cukura;Paul Denny;Tunca Dogan;Thankgod Ebenezer;Jun Fan;Penelope Garmiri;Leonardo Jose da Costa Gonzales;E. Hatton-Ellis;Abdulrahman Hussein;A. Ignatchenko;Giuseppe Insana;Rizwan Ishtiaq;Vishal Joshi;D. Jyothi;Swaathi Kandasaamy;A. Lock;Aurélien Luciani;Marija Lugarić;Jie Luo;Yvonne Lussi;Alistair MacDougall;F. Madeira;Mahdi Mahmoudy;Alok Mishra;Katie Moulang;Andrew Nightingale;Sangya Pundir;G. Qi;Shriya Raj;P. Raposo;Daniel L Rice;Rabie Saidi;Rafael Santos;Elena Speretta;J. Stephenson;Prabhat Totoo;Edward Turner;N. Tyagi;Preethi Vasudev;Kate Warner;Xavier Watkins;Rossana Zaru;H. Zellner;A. Bridge;L. Aimo;Ghislaine Argoud-Puy;A. Auchincloss;K. Axelsen;Parit Bansal;Delphine Baratin;Teresa M Batista Neto;M. Blatter;Jerven T. Bolleman;E. Boutet;L. Breuza;B. Gil;Cristina Casals-Casas;Kamal Chikh Echioukh;E. Coudert;Béatrice A. Cuche;Edouard de Castro;A. Estreicher;M. Famiglietti;M. Feuermann;E. Gasteiger;P. Gaudet;S. Gehant;V. Gerritsen;A. Gos;N. Gruaz;C. Hulo;Nevila Hyka-Nouspikel;F. Jungo;A. Kerhornou;Philippe le Mercier;D. Lieberherr;P. Masson;A. Morgat;Venkatesh Muthukrishnan;S. Paesano;I. Pedruzzi;S. Pilbout;L. Pourcel;S. Poux;Monica Pozzato;Manuela Pruess;Nicole Redaschi;C. Rivoire;Christian J. A. Sigrist;K. Sonesson;S. Sundaram;Cathy H. Wu;C. Arighi;L. Arminski;Chuming Chen;Yongxing Chen;Hongzhan Huang;K. Laiho;P. McGarvey;D. Natale;K. Ross;C. R. Vinayaka;Qinghua Wang;Yuqi Wang;Jian Zhang|Computer Science;Medicine;Biology|7b2dd79083a74699e4e0509ac3f0a8a302b4eabe;61e27dbae190b82639c57f180ecf97e4c46fcad9;4b61c25a86083c20730c9b12737ac6ac4178c364;f94455176857303605ad423599385a2341c568eb;d05d86db86a4ac0d95e6dcd951b42a9651939793|2068347799;80243122;144821090|False;True;True|desc;desc;desc
a27089efabc5f4abd5ddf2be2a409bff41f31199|10.5220/0006639801080116|JAMA|53.0|7890-1234_53|108-116|: With exponential growth in the size of computer networks and developed applications, the signiﬁcant in-creasing of the potential damage that can be caused by launching attacks is becoming obvious. Meanwhile, Intrusion Detection Systems (IDSs) and Intrusion Prevention Systems (IPSs) are one of the most important defense tools against the sophisticated and ever-growing network attacks. Due to the lack of adequate dataset, anomaly-based approaches in intrusion detection systems are suffering from accurate deployment, analysis and evaluation. There exist a number of such datasets such as DARPA98, KDD99, ISC2012, and ADFA13 that have been used by the researchers to evaluate the performance of their proposed intrusion detection and intrusion prevention approaches. Based on our study over eleven available datasets since 1998, many such datasets are out of date and unreliable to use. Some of these datasets suffer from lack of trafﬁc diversity and volumes, some of them do not cover the variety of attacks, while others anonymized packet information and payload which cannot reﬂect the current trends, or they lack feature set and metadata. This paper produces a reliable dataset that contains benign and seven common attack network ﬂows, which meets real world criteria and is publicly avaliable. Consequently, the paper evaluates the performance of a comprehensive set of network trafﬁc features and machine learning algorithms to indicate the best set of features for detecting the certain attack categories.||||Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization|2018|9787897;2037871;1698268|Iman Sharafaldin;Arash Habibi Lashkari;A. Ghorbani|Computer Science;Engineering|96430cc91ed91fd2d4042fa6fcb7ecf4005d77a7|144661829;4334655;2052576935|True;True;True|desc;desc;desc
9f970c93549a1e69cdb9ba0f28b8ad1b25ba2f3a|10.1093/nar/gky1016|Cell|6.0|5678-9012_6|D886 - D894|Abstract Combined Annotation-Dependent Depletion (CADD) is a widely used measure of variant deleteriousness that can effectively prioritize causal variants in genetic analyses, particularly highly penetrant contributors to severe Mendelian disorders. CADD is an integrative annotation built from more than 60 genomic features, and can score human single nucleotide variants and short insertion and deletions anywhere in the reference assembly. CADD uses a machine learning model trained on a binary distinction between simulated de novo variants and variants that have arisen and become fixed in human populations since the split between humans and chimpanzees; the former are free of selective pressure and may thus include both neutral and deleterious alleles, while the latter are overwhelmingly neutral (or, at most, weakly deleterious) by virtue of having survived millions of years of purifying selection. Here we review the latest updates to CADD, including the most recent version, 1.4, which supports the human genome build GRCh38. We also present updates to our website that include simplified variant lookup, extended documentation, an Application Program Interface and improved mechanisms for integrating CADD scores into other tools or applications. CADD scores, software and documentation are available at https://cadd.gs.washington.edu.||||CADD: predicting the deleteriousness of variants throughout the human genome|2018|80243122;2113693105;31273465;2431330;6534571|Philipp Rentzsch;D. Witten;G. Cooper;J. Shendure;Martin Kircher|Computer Science;Medicine;Biology|9b539d413393047b28bb7be9b195f142aaf7a80e;24e6c5bfe9bb0751e5708b501d04e860011b2953;f8b7a3434f887ce4570b7e98c7f1b91c008042d4;9670485f526f2254c0f34e64d9ca06f665a0bd17;3cee40494377c0e7d9c7c23a3811b481e55bce39;3fea7ba9490c306484a8fdfe94323ff4e009e1c7;7ea35b35392c6ef5738635cec7d17b24fe3e4f04;64be9999b68e12d260ba7423f6b55ffd41552ad3;2bc3644ce4de7fce5812c1455e056649a47c1bbf;9f387ce140c59a44eaeeea590087351461345164;693914b7f38c19585e35668fd626aecf62d4c5e7;98c25683fc8d6446448b734b1bcf08e1457f8d85|1784123;2065760904;1422494434|True;False;True|desc;desc;desc
